Citation Key	Citation_Key_Plus	Ion	frequency (Hz)	Se ( (V/m)^2/Hz	ωSe (V/m)^2	ω^3.2.Se (V/m)^2.sqrt(Hz)	d (μm)	T (K)	trap type	Plot	Reference No	Full Reference
Chiaverini2014	Chiaverini2014	88Sr	1.32E+006	7.00E-014	5.81E-007	1.67E-003	50	4	surface	1	12	J Chiaverini and J M Sage. Physical Review A,89(1):012318, 2014
Chiaverini2014	Chiaverini2014	88Sr	1.32E+006	1.05E-013	8.71E-007	2.51E-003	50	4	surface	1	12	J Chiaverini and J M Sage. Physical Review A,89(1):012318, 2014
Chiaverini2014	Chiaverini2014	88Sr	1.32E+006	5.00E-012	4.15E-005	1.19E-001	50	300	surface	1	12	J Chiaverini and J M Sage. Physical Review A,89(1):012318, 2014
Chiaverini2014	Chiaverini2014	88Sr	1.32E+006	1.00E-011	8.29E-005	2.39E-001	50	300	surface	1	12	J Chiaverini and J M Sage. Physical Review A,89(1):012318, 2014
Daniilidis2010	Daniilidis2010	40Ca	3.33E+005	3.50E-011	5.00E-005	1.06E-001	250	300	surface	1	17	N Daniilidis et al. New Journal of Physics, 13:013032, 2011
Daniilidis2010	Daniilidis2010	40Ca	3.33E+005	3.50E-010	5.00E-004	1.06E+000	250	300	surface	1	17	N Daniilidis et al. New Journal of Physics, 13:013032, 2011
Daniilidis2013	Daniilidis2013	40Ca	2.46E+005	8.47E-012	1.31E-005	1.63E-002	100	300	surface	1	this work	N Daniilidis et al. arXiv:1307.7194
Daniilidis2013	Daniilidis2013	40Ca	8.52E+005	1.17E-012	6.28E-006	1.45E-002	100	300	surface	1	this work	N Daniilidis et al. arXiv:1307.7194
Daniilidis2013	Daniilidis2013	40Ca	2.38E+005	4.92E-014	7.35E-008	8.99E-005	100	300	surface	1	this work	N Daniilidis et al. arXiv:1307.7194
Daniilidis2013	Daniilidis2013	40Ca	5.83E+005	2.49E-014	1.48E-007	3.63E-004	100	300	surface	1	this work	N Daniilidis et al. arXiv:1307.7194
DesLauriers2004	DesLauriers2004	111Cd	5.80E+006	2.77E-012	1.01E-004	6.10E-001	150	300	ring	0	NA	NA
DesLauriers2004	DesLauriers2004	111Cd	4.80E+006	4.13E-012	1.24E-004	6.84E-001	150	300	ring	0	NA	NA
DesLauriers2004	DesLauriers2004	111Cd	4.00E+006	1.91E-011	4.80E-004	2.41E+000	100	300	linear	0	NA	NA
DesLauriers2004	DesLauriers2004	111Cd	2.70E+006	1.03E-011	1.75E-004	7.21E-001	100	300	linear	0	NA	NA
DesLauriers2004	DesLauriers2004	111Cd	2.00E+006	4.01E-011	5.04E-004	1.79E+000	100	300	linear	0	NA	NA
DesLauriers2004	DesLauriers2004	111Cd	1.10E+006	2.21E-011	1.53E-004	4.01E-001	100	300	linear	0	NA	NA
DesLauriers2006	DesLauriers2006	111Cd	2.70E+006	1.19E-010	2.01E-003	8.29E+000	64	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.10E+006	1.44E-011	1.91E-004	6.92E-001	103	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.60E+006	1.39E-011	2.27E-004	9.19E-001	103	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	3.70E+006	1.41E-011	3.29E-004	1.59E+000	103	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	4.30E+006	6.57E-012	1.78E-004	9.23E-001	103	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.07E+006	7.91E-010	1.03E-002	3.71E+001	37	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.07E+006	3.96E-010	5.14E-003	1.86E+001	43	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.07E+006	1.19E-010	1.54E-003	5.57E+000	61	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.07E+006	7.12E-012	9.26E-005	3.34E-001	140	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.07E+006	3.96E-012	5.14E-005	1.86E-001	170	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers2006	DesLauriers2006	111Cd	2.07E+006	3.96E-012	5.14E-005	1.86E-001	220	300	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers_m_2006	DesLauriers_m_2006	111Cd	2.07E+006	1.98E-011	2.57E-004	9.28E-001	42	150	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers_m_2006	DesLauriers_m_2006	111Cd	2.07E+006	1.19E-011	1.54E-004	5.57E-001	61	150	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DesLauriers_m_2006	DesLauriers_m_2006	111Cd	2.07E+006	1.19E-012	1.54E-005	5.57E-002	145	150	linear	0	30	L Deslauriers et al. Physical Review Letters, 97(10):103007, 2006
DeVoe2002	DeVoe2002	137Ba	1.60E+006	1.25E-010	1.25E-003	3.97E+000	80	300	ring	0	NA	NA
Diedrich1989	Diedrich1989	198Hg	4.66E+006	1.11E-012	3.26E-005	1.76E-001	330	300	ring	0	NA	NA
Doret2012	Doret2012	40Ca	1.37E+006	3.87E-012	3.33E-005	9.77E-002	63	300	surface	1	35	 S Charles Doret et al. New Journal of Physics, 14(7):073012, 2012
Epstein2007	Epstein2007	25Mg	4.02E+006	1.07E-011	2.71E-004	1.36E+000	40	300	surface	0	14	R J Epstein et al. Physical Review A, 76:033411, 2007
Epstein2007	Epstein2007	25Mg	2.90E+006	1.87E-011	3.41E-004	1.46E+000	40	300	surface	1	14	R J Epstein et al. Physical Review A, 76:033411, 2007
Epstein2007	Epstein2007	25Mg	3.40E+006	1.20E-011	2.56E-004	1.18E+000	40	300	surface	0	14	R J Epstein et al. Physical Review A, 76:033411, 2007
Epstein2007	Epstein2007	25Mg	4.60E+006	1.17E-011	3.38E-004	1.81E+000	40	300	surface	0	14	R J Epstein et al. Physical Review A, 76:033411, 2007
Epstein2007	Epstein2007	25Mg	5.25E+006	6.78E-012	2.24E-004	1.28E+000	40	300	surface	1	14	R J Epstein et al. Physical Review A, 76:033411, 2007
Hite2012	Hite2012	9Be	1.70E+006	5.27E-011	5.63E-004	1.84E+000	40	300	surface	1	5	D A Hite et al. Phys Rev Lett, 109:103001, 2012
Hite2012	Hite2012	9Be	4.70E+006	1.24E-011	3.66E-004	1.99E+000	40	300	surface	1	5	D A Hite et al. Phys Rev Lett, 109:103001, 2012
Hite2012	Hite2012	9Be	1.70E+006	1.32E-012	1.41E-005	4.60E-002	40	300	surface	1	5	D A Hite et al. Phys Rev Lett, 109:103001, 2012
